course,code,description
Analyse II (anglais),MATH-106(en),The course studies fundamental concepts of analysis and the calculus of functions of several variables.
Analyse III,MATH-200,To learn the basic tools of vector analysis and complex analysis.
Analyse III,MATH-202(c),"Introduce notions of advanced analysis necessary to derive the models of mathematical physics for engineering sciences. Introduce Fourier's series with emphasis to solve classical partial differential equations; e.g. heat, wave and Laplace's equations."
Analyse III,MATH-203(a),The course studies the fundamental concepts of vector analysis and complex analysis with a view to their use in solving  multidisciplinary problems of scientific engineering.
Analyse III,MATH-203(b),"Introduction to advanced analysis necessary to derive the models of mathematical physic for engineering sciences. Introduction to Fourier's series with emphasis to solve classical partial differential equations; e. g. heat, wave and Laplace's equations."
Analyse III,MATH-203(c),The course studies the fundamental concepts of vector analysis and Fourier series analysis with a view to their use in solving  multidisciplinary problems of scientific engineering.
Analyse II (pour CMS),PREPA-005,
Analyse II (pour CMS),PREPA-006,
Analyse I (pour CMS),PREPA-003,
Analyse I (pour CMS),PREPA-004,
Analyse IV ,MATH-205,To learn basic tools of Lebsgue integral and Fourier analysis.
Analyse IV ,MATH-206,"The course gives an to concepts, methodes and techniques in complexe analysis, Lebesgue integration, analysis in infinite dimensional vector spaces and operator theory."
Analyse IV ,MATH-207(a),"This course is an introduction to Fourier series, Fourier transforms (including of tempered distributions), Laplace transforms, and their use in solving ordinary and partial differential equations."
Analyse IV ,MATH-207(c),"Introduce notions of complex analysis (Laurent's series, residues theorem, etc.) necessary to derive the theory of the Fourier's and Laplace's transforms with emphasis to solve some linear differential equations."
Analyse IV ,MATH-207(d),"Complex analysis: holomorphic functions, Cauchy-Riemann equation, complex integration,  Cauchy's theorem, Cauchy's formula, Laurent series, residue theorem.  Fourier transform. Plancherel identity."
Analyse numÈrique,MATH-150,The student will learn how to solve numerically some relevant mathematical problems. The theoretical properties of these methods will be discussed.
Analyse numÈrique,MATH-250,"Construction and analysis of numerical methods for the solution of problems from linear algebra, integration and differentiation"
Analyse numÈrique,MATH-251(a),"This course is concerned with numerical methods for solving mathematical problems such as linear and nonlinear systems, approximation of functions, integration and differentiation, as well as differential equations."
Analyse numÈrique,MATH-251(b),"This course proposes numerical methods for solving mathematical problems such as linear and nonlinear systems, approximation of functions, integration and differentiation, as well as differential equations."
Analyse numÈrique,MATH-251(c),"This course introduces and analyzes numerical methods for solving mathematical problems such as linear and nonlinear systems, approximation of functions, integration and differentiation, as well as differential equations."
Analyse numÈrique,MATH-251(d),"This course is concerned with numerical methods for solving mathematical problems such as linear and nonlinear systems, approximation of functions, integration and differentiation, as well as differential equations."
Analyse structurale,CH-201,"The goal of this course is to be able to determine the chemical structure of small organic molecules using mass spectrometry, infrared spectroscopy and nuclear magnetic resonance."
Analysis and modelling of locomotion,BIOENG-404,"The lecture presents an overview of the state of the art in the analysis and modeling of human locomotion and the underlying motor circuits. Multiple aspects are considered including neurophysiology, gait characterization, biomechanics, numerical modeling, neuroprosthetics, and links to biped robots"
Analysis III,MATH-201,Introduction to vector calculus and Fourier series.
Analysis of ancient materials and their degradation,CH-406,"This course aims at introducing ancient materials and their investigation by non-destructive synchrotron and imaging techniques. Case-studies on paintings, ceramics, stained glass, fossils will be presented and important concepts introduced and discussed (multiscale, heterogeneity, representativity)"
Analysis on groups,MATH-416,"We study analytic phenomena on groups, notably paradoxical decompositions and fixed point properties."
Analytic algorithms,CS-435,"In the last decade, many fundamental algorithmic problems have benefited from viewing the underlying discrete problems through the lens of analytic methods. In this course we will introduce a selection of such techniques and explore their applications."
A Network Tour of Data Science,EE-558,"This course offers an introduction to algorithms in data science and network analysis. A major goal is to design and analyze graph-based algorithms in the context of learning, recommendation, visualization, and representation. The course provides coding exercices on real-world cases."
Anneaux et corps,MATH-215,"The aim of this course is to introduce and study the basic notions of algebra, in particular rings and fields."
Application des mathÈmatiques (CMS),PREPA-007,
Application des mathÈmatiques (CMS),PREPA-008,
Applied corporate & industry analysis (MTE master only),MGT-410,"The intent of this project is to encourage interchange between students and their mentors. Each student, in consultation with her or his mentor, will choose a company that the student will analyze in context of its primary industry. The company may be that of the mentor, but is not required to be."
Applied data analysis,CS-401,"This course teaches the basic techniques and practical skills required to make sense out of a variety of data, with the help of the most acclaimed software tools in the Data Science world: pandas, scikit-learn, Spark, TensorFlow, etc."
Applied machine learning,MICRO-455,"Real-world engineering applications must cope with a large dataset of dynamic variables, which cannot be well approximated by classical or deterministic models. This course gives an overview of methods from Machine Learning for the analysis of non-linear, highly noisy and multi dimensional data."
Applied mechanical design,ME-403,"Students will be exposed to hands-on design problems throughout the term. They will acquire methodologies to (1) address open ended engineering problems, (2) cultivate creativity, (3) support decision making and (4) develop problem solving abilities."
Applied molecular quantum chemistry,CH-451,Introduction of the bases allowing the computation of chemical reactions and spectroscopic properties of molecules or ions in the gas phase and in solution using quantum chemical methods.
Applied probability & stochastic processes,MGT-484,"This course focuses on dynamic models of random phenomena, and in particular, the most popular classes of such models: Markov chains and Markov decision processes. We will also study applications in queuing theory, finance, project management, etc."
Applied stochastic processes,MATH-332,"This course introduces the theory of stochastic processes including Markov chains in discrete and continuous time, Poisson processes, and renewal processes. The use of these processes is illustrated in various areas of applications."
Applied wastewater engineering,ENV-509,"This course on applied wastewater treatment focuses on engineering and scientific aspects to achieve high effluent water quality and to handle wastes and air emissions generated in wastewater treatment plants. Furthermore, it provides students with aspects to control such complex installations."
"Apprentissage, dÈveloppement et enseignement",HEP-402,"This module aims appropriation of theoretical frameworks in order to understand certain characteristics and constraints of cognitive functioning , learning processes and the relationship between learning and development."
Appuis informatique,PREPA-038,
Aquatic ecosystems,ENV-321,"Inland waters are now being recognized are major players of global biogeochemical cycles. They also provide essential ecosystem services such as fresh water and fish, and link continental processes with atmospheric and marine processes. The understanding of the structure and function of inland water"
Architecture and existing buildings,AR-424(b),"The course offers an overview of the interventions realized on the existing buildings during the time. It wants also to help the definition of operative and appropriate strategies to study and project on the preexistence, with a special focus on methodologies, goals and technical issues."
Architecture autonome,AR-526,"The course aims to provide critical tools for a thorough understanding of the work of Aldo Rossi, with particular emphasis on the creative process of ""autonomy""."
Architecture des systems-on-chip,CS-209,"The course continues the introduction of students to the basic concepts of Computer Architecture (inputs/outputs, interrupts, and exceptions). It also addresses the issue of Instruction Level Parallelism (pipelines, etc.) and the problems related to the memory hierarchy of multiprocessors."
Architecture & Ènergie solaire,PENS-301,This course aims at allowing an optimal use of solar energy in high quality architectures.
Architecture et construction de la ville I,AR-451,"This course proposes multi-disciplinary approaches that could help to the clarify the articulations of different scales of intervention (architecture, city, territory).It aims at the study of the constitution of the character of a site through the understanding of its relations to the distance."
Architecture et construction de la ville II,AR-452,"This course proposes multi-disciplinary approaches that could help to clarify the articulations of two specific scales of intervention: architecture and infrastructure.It aims at the study of the constitution of the character of a site where some elements seem to have nothing in common."
Argamassa armada in Salvador de Bahia,PENS-308,"This UE foresees to retrieve and critically analyse the system proposed by Filgueiras Lima, through the students testing of 1:1 elements in concrete."
Art et histoire des jardins,AR-453,"This course's objective is to introduce the major periods of the history of European gardens from the Renaissance until today, with a particular emphasis on the twentieth and twenty-first centuries. It also gives students the opportunity to analyze the cultural heritage of Vaud-Geneva."
Artificial photosynthesis,CH-426,This class is intended to make students familiar with dye sensitized solar cells. It presents the principle of design and rationalize the influence of various components on the power conversion efficiency of solar cells.
Arts et histoires de l'environnement I,AR-365,"This course aims at introducing students to the history of landscapes and the environment, and to the ways in which the environmental concerns, which are strongly going to affect the design of cities and architecture, have emerged during the last decades."
Arts et histoires de l'environnement II,AR-366,"This course aims at introducing students to the history of landscapes and the environment, and to the ways in which the environmental concerns, which are strongly going to affect the design of cities and architecture, have emerged during the last decades."
Asian studies,HUM-265(a),"The course addresses key notions and themes related to cultures and societies in China and its neighbouring areas (Korea and Japan), and discusses their current issues in a historic and comparative perspective."
Assembly techniques,MSE-464,"Introduction to the assembly of materials by homogeneous or heterogeneous joints (welding, bonding, mechanical assembly). Mechanical and environmental resistance of joints."
Astrophysics III : Stellar and galactic dynamics,PHYS-401,"The aim of this course is to acquire some knowledge on specific dynamical phenomena related to the origin, equilibrium, and evolution of starclusters, galaxies, and galaxy clusters."
Astrophysics IV : Observational cosmology,PHYS-402,"Cosmology is the study of the structure and evolution of the universe as a whole. This course describes the principal themes of cosmology, as seenfrom the point of view of observations."
Astrophysique II : Bases physiques de l'astrophysique,PHYS-323,"This course is an introduction to stellar physics. It yields the concepts needed to understand how a star behaves, to build models of stellar structure and evolution, and to interpret stellar spectra."
Astrophysique I : Introduction ‡ l'astrophysique,PHYS-209,"This course describes in a simple way the astrophysical concepts behind our perception of the Universe. By covering a broad range of topics, the goal of the course is also to help students develop a broad picture of the Universe we live in. "
Atomes et rayonnement,CH-360,"Spectroscopy, i.e. measurement of the response of a system to a perturbing electromagnetic field, is one of the most important tools to study microscopic systems. This course provides the basics of spectroscopy, discussing in detail the interaction between atoms and electromagnetic radiation."
"Atomes, ions, molÈcules et fonctions",CH-102,This course introduces the basic notions of quantum chemistry necessary to understand the properties of an electron in an atom. The factors and concepts responsible for the formation of a chemical bond and a molecule will then be discussed and apply to organic molecules.
Atomistic and quantum simulations of materials,MSE-468,"Theory and application of quantum simulations to model, understand, and predict the properties of real materials."
Audio,EE-548,"This lecture is oriented towards the study of audio engineering, with a special focus on room acoustics applications. The learning outcomes will be the techniques for microphones and loudspeaker design, as well as room acoustics knowledge."
Audio signal processing and virtual acoustics,COM-415,"The objective of the course is to introduce theory, methods, and basic psychoacoustics that is needed to understand state-of-the-art techniques used in pro audio and consumer audio, including microphones, surround sound, auralization, virtual acoustics, mixing, and audio coding."
Automatic speech processing,EE-554,"The goal of this course is to provide the students with the main formalisms, models and algorithms required for the implementation of advanced speech processing applications (involving, among others, speech coding, speech analysis/synthesis, and speech recognition). "
Automatique + TP,ME-325,Provide the students with basic notions and tools for the analysis and control of dynamic systems. Show them how to design controllers and analyze the performance of controlled systems.
Autre contribution ‡ l'enseignement,,
Autre contribution ‡ l'enseignement,,
B2B - high-tech marketing,MGT-402,"Business as usual methods can apply to mature markets, even if less and less.But a kind of Marketing integrating innovation and entrepreneurial values is more and more useful and necessary to act in a context of turbulence or disruption. This is a highly impacting trend for B2B marketing."
Barrages et ouvrages hydrauliques annexes,CIVIL-411,Dams corresponds to the largest structures ever built by man. The course gives an introduction in the fascinating field of design and construction of dams required for supply of water and energy but integrated in the environment all over the world. 
Bases de la robotique,MICRO-450,"This course introduces the basics of robotics. Different aspects related to robot architectures (Serial   Parallel -Cartesian), sensors, kinematics and dynamic modeling and control are presented. Each of these theoretical topics is linked to its practical and industrial context."
Beyond-design-basis safety,ETH-532,
Bioanalytics and analytical sensors,CH-402,"Introduction to instrumental and bioinformatics analytical methods used inproteomics and genomics."
Biochemical engineering,ChE-311,"This course introduces the basic principles of bioprocess engineering and highlights the similarities and differences with chemical engineering. Without going into the fundamentals, it proposes an overview of the techniques for fermentation as well as product purification  (DownStream Processing)."
Biochemistry II,CH-313,The goal of this class is an introduction into the organic chemistry of biological pathways. Students will learn the common mechanisms in biological chemistry as they are found in primary and secondary metabolism. 
Biochimie,ENV-100,"The SIE biochemistry course introduces the students to the structures of biomolecules and their function, to central cellular metabolism, the principles of the use of genetic information and the mechanisms of evolution as well as the different systems of regulation."
Biochimie I,CH-210,"Basic concepts in biochemistry as well as biochemical components of organisms such as proteins, DNA, carbohydrates and lipids are discussed."
Bioelectronics and implantable biomedical microelectronics,EE-519,"The course covers the fundaments of bioelectronics and integrated microelectronics for biomedical and implantable systems. Issues and trade-offs at the circuit and systems levels of invasive microelectronic systems as well as their eluding designs, methods and classical implementations are discussed"
Bio-ingÈnierie des cours døeau et milieux naturels,ENV-420,"Demonstrate the roles and the interest of the riparian vegetation of streams. ""Bioengineerings"". Bioengineering methods. When, why and how to use geotextiles? Principles of the revitalizaion/restoration of watercourses. Field approach then concrete project. Ecosystematic and administrative approach."
Bioinorganic chemistry,CH-321,Introduction to the coordination chemistry and function of metal complexes in biological systems.
Biological chemistry II (for SV),BIO-212,This course covers the basic concepts of intermediary metabolism. Students are introduced to the various metabolic pathways that integrate the nutritional status to energy homeostasis and will get familiar with several medical applications based on these pathways.
Biological chemistry III,BIO-213,"The course will provide students with a deeper knowledge of the structure and function of proteins, the biological purposes of post-translational modifications, protein-protein interactions and signaling pathways in healthy and cancerous cells."
Biological modeling of neural networks,BIO-465,In this course we study mathematical models of neurons and neuronal networks in the context of biology and establish links to models of cognition.
Biologie,ENV-101,"Knowledge update and acquisition of specific important concepts for an environmental engineer. A special effort is placed on the diversity of the living world, and more particularly on the role and the functioning of the Prokaryotes in the biosphere."
Biologie cellulaire et molÈculaire I,BIO-205,"The course covers the regulation of gene expression, which translates the information contained in the genome into function, by adjusting the levels and activities of mRNAs and proteins to the needs of specific cells, tissues and environments. A particular emphasis is given on experimental methods."
Biologie cellulaire et molÈculaire II,BIO-207,"This course is aimed to familiarize students with the 3D organization of a eukaryotic cell, its compartmentalization, how cellular compartments communicate together and how a cell communicates with its environment. The related molecular mechanisms will be discussed."
Biologie du dÈveloppement,BIO-221,Ce cours dÈcrits les Ètapes prÈcoces du dÈveloppement des VertÈbrÈs. Les principes gouvernant le dÈveloppement sont exposÈs gr‚ces ‡ quelques exemples illustratifs.  
Biologie I,BIO-103,Biology I is an introduction to the basic concepts of life sciences. The course is structured around three main topics : 1. structures and functions at the cellular level; 2. the storage and transmission of information in living organisms; 3. the energy conversions in the biosphere.
Biologie II,BIO-104,"Completing Biology I, Biology II covers the basic concepts of evolution, development, interactions between species before explaining the mechanisms governing gene expression. "
Biologie (pour CMS),PREPA-009,
Biologie (pour CMS),PREPA-010,
Biomaterials,BIOENG-442,"This course covers the fundamental concepts behind the design, function and application of state-of-the-art biomaterials, that is, materials that are designed based on a molecular understanding of their interactions with biological systems."
Biomaterials (pour MX),MSE-471,"The course introduces the main classes of biomaterials used in the medical field. The interactions with biological environment and the properties of implants are presented with examples in orthopaedics, dentistry and ocular fields. Introduction to regulatory aspects."
